Average degree;Bipartite;Claw-free;Clique number;Connected;Density;Diameter;Edge connectivity;Eulerian;Matching number;Maximum degree;Minimum degree;Number of components;Number of edges;Number of triangles;Number of vertices ;Planar ;Radius;Regular;Vertex connectivity;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Chromatic Number;Girth;Domination number;Independence number;Chromatic Index
3;0;0;2;1;0.103;7;3;0;15;3;3;1;45;0;30;0;3;1;3;5.540;2.795;-2.54;0.205;3;5;9;13;4
3;0;0;2;1;0.103;7;2;0;15;3;3;1;45;0;30;0;5;1;3;5.469;2.895;-2.469;0.105;3;5;8;12;4
3;0;0;2;1;0.103;7;2;0;15;3;3;1;45;0;30;0;7;1;3;5.433;2.851;-2.433;0.149;3;5;9;12;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;6;1;3;5.367;2.920;-2.367;0.08;3;3;8;12;4
3;0;0;3;1;0.103;7;2;0;15;3;3;1;45;0;30;0;4;1;3;5.521;2.884;-2.521;0.116;3;3;8;12;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;7;1;3;5.521;2.880;-2.521;0.12;3;3;8;13;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;5;1;3;5.481;2.920;-2.481;0.08;3;3;9;12;4
3;0;0;3;1;0.103;7;2;0;15;3;3;1;45;0;30;0;5;1;3;5.456;2.851;-2.456;0.149;3;3;8;12;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;5;1;3;5.535;2.909;-2.535;0.091;3;3;8;13;4
3;0;0;3;1;0.103;10;2;0;15;3;3;1;45;0;30;0;7;1;3;5.373;2.912;-2.373;0.088;3;3;8;12;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;7;1;3;5.535;2.909;-2.535;0.091;3;3;8;13;4
3;0;0;3;1;0.103;7;2;0;15;3;3;1;45;0;30;0;5;1;3;5.514;2.881;-2.514;0.119;3;3;8;13;4
3;0;0;3;1;0.103;8;2;0;15;3;3;1;45;0;30;0;8;1;3;5.856;2.899;-2.856;0.101;3;3;9;13;4
3;0;0;3;1;0.103;8;2;0;15;3;3;1;45;0;30;0;8;1;3;5.380;2.902;-2.38;0.098;3;3;9;12;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;8;1;3;5.510;2.897;-2.51;0.103;3;3;8;13;4
3;0;0;3;1;0.103;8;2;0;15;3;3;1;45;0;30;0;8;1;3;5.374;2.906;-2.374;0.094;3;3;8;12;4
3;0;0;3;1;0.103;7;2;0;15;3;3;1;45;0;30;0;5;1;3;5.469;2.895;-2.469;0.105;3;3;8;12;4
3;0;0;3;1;0.103;8;2;0;15;3;3;1;45;0;30;0;8;1;3;5.405;2.905;-2.405;0.095;3;3;8;12;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;8;1;3;5.513;2.906;-2.513;0.094;3;3;8;13;4
3;0;0;3;1;0.103;7;2;0;15;3;3;1;45;0;30;0;6;1;3;5.530;2.864;-2.53;0.136;3;3;8;13;4
3;0;0;3;1;0.103;7;2;0;15;3;3;1;45;0;30;0;6;1;3;5.529;2.851;-2.529;0.149;3;3;9;13;4
3;0;0;3;1;0.103;7;2;0;15;3;3;1;45;0;30;0;6;1;3;5.424;2.852;-2.424;0.148;3;3;8;12;4
3;0;0;3;1;0.103;7;2;0;15;3;3;1;45;0;30;0;7;1;3;5.414;2.859;-2.414;0.141;3;3;8;12;4
3;0;0;3;1;0.103;7;2;0;15;3;3;1;45;0;30;0;6;1;3;5.509;2.851;-2.509;0.149;3;3;8;13;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;7;1;3;5.414;2.891;-2.414;0.109;3;3;8;12;4
3;0;0;2;1;0.103;5;2;0;15;3;3;1;45;0;30;0;4;1;3;5.833;2.274;-2.98;0.583;3;4;10;12;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;7;1;3;5.414;2.891;-2.414;0.109;3;3;8;12;4
3;0;0;3;1;0.103;9;2;0;15;3;3;1;45;0;30;0;7;1;3;5.535;2.909;-2.535;0.091;3;3;8;13;4
3;0;0;3;1;0.103;7;2;0;15;3;3;1;45;0;30;0;7;1;3;5.433;2.851;-2.433;0.149;3;3;8;12;4
