Density;Diameter;Radius;Largest L-eigenvalue ;AS Second largest Eigenvalue;AS Smallest Eigenvalue;Laplacian spectrum;Girth;Group Size;Domination number;Independence number;Chromatic index
0.08571;5;4;5.725;2.452;-2.725;0.548;7;1;10;16;3
0.08571;5;4;5.725;2.452;-2.725;0.548;7;1;10;16;3
0.08571;5;5;5.729;2.454;-2.729;0.546;7;1;11;16;3
0.08571;5;4;5.73;2.453;-2.73;0.547;7;1;10;16;3
0.08571;6;5;5.814;2.453;-2.814;0.547;7;1;10;16;3
0.08571;6;5;5.812;2.453;-2.812;0.547;7;1;10;16;3
0.08571;6;5;5.784;2.456;-2.784;0.544;7;1;10;16;3
0.08571;6;5;5.841;2.452;-2.841;0.548;7;1;10;17;3
0.08571;6;5;5.781;2.452;-2.781;0.548;7;1;10;16;3
0.08571;6;5;5.779;2.454;-2.779;0.546;7;1;10;16;3
0.08571;6;5;5.814;2.455;-2.814;0.545;7;1;10;16;3
0.08571;5;5;5.74;2.454;-2.74;0.546;7;1;10;16;3
0.08571;5;5;5.781;2.455;-2.71;0.545;7;1;10;16;3
0.08571;5;5;5.74;2.454;-2.74;0.546;7;1;10;16;3
0.08571;5;5;5.74;2.452;-2.74;0.548;7;1;10;16;3
0.08571;5;5;5.74;2.452;-2.74;0.548;7;1;10;16;3
0.08571;5;5;5.739;2.452;-2.739;0.548;7;1;10;16;3
0.08571;5;5;5.74;2.452;-2.74;0.548;7;1;10;16;3
0.08571;6;5;5.78;2.452;-2.78;0.548;7;1;10;16;3
0.08571;5;5;5.782;2.452;-2.782;0.548;7;1;10;16;3
0.08571;5;4;5.74;2.452;-2.74;0.548;7;1;10;16;3
0.08571;5;4;5.74;2.452;-2.74;0.548;7;1;10;16;3
0.08571;5;5;5.739;2.454;-2.739;0.546;7;1;10;16;3
0.08571;5;5;5.74;2.454;-2.74;0.546;7;1;10;16;3
0.08571;5;4;5.74;2.452;-2.74;0.548;7;1;10;16;3
0.08571;5;4;5.74;2.452;-2.74;0.548;7;1;10;16;3
0.08571;5;5;5.773;2.438;-2.773;0.562;7;1;10;16;3
0.08571;5;5;5.783;2.455;-2.783;0.545;7;1;10;16;3
0.08571;5;5;5.773;2.437;-2.773;0.563;7;1;10;16;3
0.08571;5;5;5.794;2.437;-2.794;0.563;7;1;10;16;3
0.08571;5;5;5.794;2.439;-2.794;0.561;7;1;10;16;3
0.08571;6;5;5.814;2.452;-2.814;0.548;7;1;10;16;3
0.08571;5;5;5.786;2.452;-2.786;0.548;7;1;10;16;3
0.08571;5;5;5.772;2.438;-2.772;0.562;7;1;10;16;3
0.8571;5;5;5.794;2.438;-2.794;0.562;7;1;10;16;3
0.08571;5;4;5.794;2.437;-2.794;0.563;7;1;10;16;3
0.08571;5;5;5.745;2.455;-2.745;0.545;7;1;10;16;3
0.08571;5;4;5.736;2.455;-2.736;0.545;7;1;10;16;3
0.08571;5;5;5.745;2.455;-2.745;0.542;7;1;10;16;3
0.08571;5;5;5.744;2.452;-2.744;0.548;7;1;10;16;3
0.08571;5;5;5.745;2.452;-2.745;0.548;7;1;10;16;3
0.08571;5;5;5.744;2.452;-2.744;0.548;7;1;10;16;3
0.08571;5;5;5.745;2.452;-2.745;0.548;7;1;10;16;3
0.08571;5;4;5.732;2.452;-2.732;0.548;7;1;10;16;3
0.08571;6;5;5.732;2.452;-2.732;0.548;7;1;10;16;3
0.08571;5;4;5.745;2.452;-2.745;0.548;7;1;10;16;3
0.08571;5;4;5.745;2.452;-2.745;0.548;7;1;10;16;3
